window_id,window_start,cryptocurrency,tweet_count,mean_sentiment,sentiment_std,positive_ratio,negative_ratio,synthetic_count,policy_action,action_taken,oracle_triggered,agent,dataset
BTC_20221130T091500Z,2022-11-30 09:15:00+00:00,BTC,102,0.034074605835199924,0.28825551140145517,0.0392156862745098,0.0196078431372549,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T092000Z,2022-11-30 09:20:00+00:00,BTC,165,0.05274830229411069,0.3208726929137081,0.07272727272727272,0.030303030303030304,0,BUY,BUY,False,deterministic,sentiment_1.5
BTC_20221130T092500Z,2022-11-30 09:25:00+00:00,BTC,175,0.013779978613768288,0.3284350179981313,0.05142857142857143,0.03428571428571429,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T093000Z,2022-11-30 09:30:00+00:00,BTC,181,0.05458937337344193,0.37781704698950996,0.07734806629834254,0.055248618784530384,0,BUY,BUY,False,deterministic,sentiment_1.5
BTC_20221130T093500Z,2022-11-30 09:35:00+00:00,BTC,155,0.03922169566034306,0.2739027907014212,0.03870967741935484,0.03225806451612903,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T094000Z,2022-11-30 09:40:00+00:00,BTC,156,0.06390843986838053,0.291588797311922,0.038461538461538464,0.02564102564102564,0,BUY,BUY,False,deterministic,sentiment_1.5
BTC_20221130T094500Z,2022-11-30 09:45:00+00:00,BTC,133,0.02960106479424169,0.24599169953056446,0.03759398496240601,0.007518796992481203,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T095000Z,2022-11-30 09:50:00+00:00,BTC,131,0.004575566061637307,0.2374642676989886,0.007633587786259542,0.03816793893129771,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T095500Z,2022-11-30 09:55:00+00:00,BTC,142,0.05652817587768263,0.2990007279284583,0.04929577464788732,0.028169014084507043,0,BUY,BUY,False,deterministic,sentiment_1.5
BTC_20221130T100000Z,2022-11-30 10:00:00+00:00,BTC,247,0.03392178682338913,0.2742179928122379,0.03643724696356275,0.02834008097165992,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T100500Z,2022-11-30 10:05:00+00:00,BTC,150,0.0399863199330866,0.2663264963253975,0.04,0.02,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T101000Z,2022-11-30 10:10:00+00:00,BTC,141,0.06281674719012689,0.3003178083603324,0.07092198581560284,0.028368794326241134,0,BUY,BUY,False,deterministic,sentiment_1.5
BTC_20221130T101500Z,2022-11-30 10:15:00+00:00,BTC,153,0.01883081231856703,0.32544395233353424,0.0392156862745098,0.0457516339869281,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T102000Z,2022-11-30 10:20:00+00:00,BTC,132,0.006895463373935332,0.24431257510669624,0.015151515151515152,0.015151515151515152,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T102500Z,2022-11-30 10:25:00+00:00,BTC,150,0.01337287498327591,0.32283695924500777,0.04,0.05333333333333334,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T103000Z,2022-11-30 10:30:00+00:00,BTC,171,0.012283462540883762,0.3410176567235008,0.05847953216374269,0.05847953216374269,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T103500Z,2022-11-30 10:35:00+00:00,BTC,140,0.040118365079563637,0.3621425411536969,0.08571428571428572,0.04285714285714286,0,BUY,BUY,False,deterministic,sentiment_1.5
BTC_20221130T104000Z,2022-11-30 10:40:00+00:00,BTC,160,0.012190968039794806,0.2788178329747236,0.03125,0.025,0,HOLD,HOLD,False,deterministic,sentiment_1.5
BTC_20221130T104500Z,2022-11-30 10:45:00+00:00,BTC,164,0.007521212265667734,0.2947107099815651,0.024390243902439025,0.054878048780487805,0,HOLD,HOLD,False,deterministic,sentiment_1.5
